UTC,Open,High,Low,Close,Volume
06.10.2025 12:00:00.000 UTC,1.16751,1.16895,1.16728,1.16889,14123.4
06.10.2025 13:00:00.000 UTC,1.16891,1.17027,1.16836,1.16994,6697.03
06.10.2025 14:00:00.000 UTC,1.16993,1.17177,1.1695,1.17164,7004.3
06.10.2025 15:00:00.000 UTC,1.17164,1.17211,1.17029,1.17063,4708.41
06.10.2025 16:00:00.000 UTC,1.17066,1.17121,1.17029,1.17118,2589.23
06.10.2025 17:00:00.000 UTC,1.17118,1.17158,1.17096,1.17103,1881.92
06.10.2025 18:00:00.000 UTC,1.17101,1.17157,1.17093,1.17125,1678.55
06.10.2025 19:00:00.000 UTC,1.17126,1.17168,1.171,1.17106,1567.16
06.10.2025 20:00:00.000 UTC,1.17105,1.17138,1.17082,1.17104,1949.74
06.10.2025 21:00:00.000 UTC,1.17104,1.17144,1.1706,1.17085,1182.87
06.10.2025 22:00:00.000 UTC,1.17084,1.17144,1.17083,1.17095,2444.18
06.10.2025 23:00:00.000 UTC,1.17097,1.17142,1.17082,1.17092,1140.75
07.10.2025 00:00:00.000 UTC,1.17093,1.1711,1.1704,1.17085,2475.27
07.10.2025 01:00:00.000 UTC,1.17087,1.17087,1.16963,1.16967,1895.88
07.10.2025 02:00:00.000 UTC,1.16966,1.17057,1.16966,1.17014,1312.59
07.10.2025 03:00:00.000 UTC,1.17016,1.17069,1.16994,1.1703,1475.9
07.10.2025 04:00:00.000 UTC,1.1703,1.17072,1.16943,1.16983,2083.21
07.10.2025 05:00:00.000 UTC,1.16983,1.16996,1.16873,1.16915,1765.58
07.10.2025 06:00:00.000 UTC,1.16915,1.16916,1.16829,1.16866,5543.68
07.10.2025 07:00:00.000 UTC,1.16864,1.16878,1.16701,1.16761,4412.55
07.10.2025 08:00:00.000 UTC,1.16761,1.16828,1.16648,1.16657,3565.93
07.10.2025 09:00:00.000 UTC,1.16657,1.16708,1.16604,1.16663,3816.28
07.10.2025 10:00:00.000 UTC,1.16662,1.16758,1.16629,1.16741,4169.8
07.10.2025 11:00:00.000 UTC,1.16739,1.16742,1.16538,1.16625,4074.08
07.10.2025 12:00:00.000 UTC,1.16623,1.16668,1.16539,1.16666,6505.42
07.10.2025 13:00:00.000 UTC,1.16668,1.167,1.16593,1.16602,5745.78
07.10.2025 14:00:00.000 UTC,1.16601,1.16661,1.16547,1.16629,7787.2
07.10.2025 15:00:00.000 UTC,1.16631,1.16798,1.16614,1.16728,6560.23
07.10.2025 16:00:00.000 UTC,1.1673,1.1681,1.16697,1.16699,4070.83
07.10.2025 17:00:00.000 UTC,1.16698,1.16792,1.16664,1.16672,4094.32
07.10.2025 18:00:00.000 UTC,1.16673,1.16679,1.16567,1.16576,2561.19
07.10.2025 19:00:00.000 UTC,1.16577,1.16582,1.16474,1.165,2944.26
07.10.2025 20:00:00.000 UTC,1.16502,1.16583,1.16488,1.16563,1547.9
07.10.2025 21:00:00.000 UTC,1.16559,1.16583,1.16529,1.16563,2143.85
07.10.2025 22:00:00.000 UTC,1.16561,1.1661,1.16561,1.1659,758.83
07.10.2025 23:00:00.000 UTC,1.16591,1.16591,1.16526,1.16526,1502.87
08.10.2025 00:00:00.000 UTC,1.16527,1.1653,1.16454,1.16473,2422.22
08.10.2025 01:00:00.000 UTC,1.16472,1.16472,1.16259,1.16265,6294.95
08.10.2025 02:00:00.000 UTC,1.16266,1.16271,1.16168,1.16238,3404.79
08.10.2025 03:00:00.000 UTC,1.16236,1.16245,1.16174,1.16237,1849.83
08.10.2025 04:00:00.000 UTC,1.16236,1.16251,1.16159,1.16191,1855.78
08.10.2025 05:00:00.000 UTC,1.16189,1.16191,1.16119,1.16168,2531.94
08.10.2025 06:00:00.000 UTC,1.1617,1.16202,1.16068,1.16163,4761.14
08.10.2025 07:00:00.000 UTC,1.16166,1.16341,1.16116,1.1631,7373.71
08.10.2025 08:00:00.000 UTC,1.16311,1.16353,1.16105,1.16144,4729.55
08.10.2025 09:00:00.000 UTC,1.16147,1.16202,1.16059,1.16112,4647.61
08.10.2025 10:00:00.000 UTC,1.16112,1.16361,1.16091,1.16336,4131.06
08.10.2025 11:00:00.000 UTC,1.16335,1.16345,1.16251,1.16259,4045.6
08.10.2025 12:00:00.000 UTC,1.1626,1.16378,1.16245,1.16324,3961.63
08.10.2025 13:00:00.000 UTC,1.16322,1.16447,1.16273,1.16317,5279.68
08.10.2025 14:00:00.000 UTC,1.16317,1.16361,1.16203,1.16215,5967.24
08.10.2025 15:00:00.000 UTC,1.16216,1.16219,1.1603,1.16056,7544.3
08.10.2025 16:00:00.000 UTC,1.16057,1.16069,1.15983,1.16051,3986.94
08.10.2025 17:00:00.000 UTC,1.16052,1.16091,1.16023,1.16069,2333.1
